u,Authors,Year,Title,Source,Volume, Issue,Abstract,DOI,Notes,Reviewer,Population,Exposure,Outcome,Meets inclusion criteria,Reasons for exclusion,Year(s) of study,Geographic location,Latitude,Longitude,Habitat description,Bird species,Size,Proportion diet,Life stage,Food measurement,Insect sampling method,Type of prey,Comparator / control group,Effect calculable?,ES_ID
1315,"Anthony, Robert G. (Robert.anthony@orst.edu) and Estes, James A. and Ricca, Mark A. and Miles, A. Keith and Forsman, Eric D.",2008,Bald eagles and sea otters in the Aleutian archipelago: indirect effects of trophic cascades,Ecology (Washington D C),89,10,"Because sea otters (Enhydra lutris) exert a wide array of direct and indirect effects on coastal marine ecosystems throughout their geographic range, we investigated the potential influence of sea otters on the ecology of Bald Eagles (Haliaeetus leucocephalus) in the Aleutian Islands, Alaska, USA. We studied the diets, productivity, and density of breeding Bald Eagles on four islands during 1993[long dash]1994 and 2000[long dash]2002, when sea otters were abundant and scarce, respectively. Bald Eagles depend on nearshore marine communities for most of their prey in this ecosystem, so we predicted that the recent decline in otter populations would have an indirect negative effect on diets and demography of Bald Eagles. Contrary to our predictions, we found no effects on density of breeding pairs on four islands from 1993[long dash]1994 to 2000[long dash]2002. In contrast, diets and diet diversity of Bald Eagles changed considerably between the two time periods, likely reflecting a change in prey availability resulting from the increase and subsequent decline in sea otter populations. The frequency of sea otter pups, rock greenling (Hexagammus lagocephalus), and smooth lumpsuckers (Aptocyclus ventricosus) in the eagle's diet declined with corresponding increases in Rock Ptarmigan (Lagopus mutus), Glaucous-winged Gulls (Larus glaucescens), Atka mackerel (Pleurogrammus monopterygius), and various species of seabirds during the period of the recent otter population decline. Breeding success and productivity of Bald Eagles also increased during this time period, which may be due to the higher nutritional quality of avian prey consumed in later years. Our results provide further evidence of the wide-ranging indirect effects of sea otter predation on nearshore marine communities and another apex predator, the Bald Eagle. Although the indirect effects of sea otters are widely known, this example is unique because the food-web pathway transcended five species and several trophic levels in linking one apex predator to another.",10.1890/07-1818.1,,JRY,No,,,No,,,,,,,,,,,,,,,,
1316,"Duca, Charles (cduca@uvv.br) and Brunelli, Walquiria A. and Doherty, Paul F., Jr",2019,Predator search image and the dilution effect: When is the best time to nest?,Auk,136,2,"The predator search image hypothesis predicts that predators will focus on prey that are abundant and with which they have had success. However, the predator dilution effect hypothesis predicts a decrease in the per capita chance of being depredated with an increasing amount of prey. We evaluated these hypotheses through an artificial nest survival study. We estimated nest survival during both the non-breeding and breeding seasons of 2014 at a restinga (sand-coastal-plain) area in southeastern Brazil. We installed 450 artificial nests (cup shaped) in each season and placed a Common quail (Coturnix coturnix) egg in each nest, totaling 900 nests. During the non-breeding season, our nests were the only ones present and thus the predator dilution effect should be absent. We estimated daily survival rate (DSR) using the ""Nest Survival"" function in the program MARK. We found a decrease in DSR at the middle and end in comparison with the onset of the non-breeding season, which supports the predator search image hypothesis. In comparison with the non-breeding season, we also found that DSR of artificial nests was lower at the onset and end of the breeding season, but higher in the middle of the breeding season. This pattern matched the higher availability of prey (i.e. natural nests) in the middle of the breeding season in the study site, supporting the dilution effect hypothesis. The survival rate of artificial nests suggests that both the search image and the dilution effect may occur during the breeding season, and that the predator dilution effect masks the predator search image in the middle of the breeding season. Our results expand our understanding regarding the effects of the search image and predator dilution effect hypotheses on nest predation, showing that both are density-dependent and may occur during the breeding season.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1317,"Angelstam, P.K.",1984,"Population dynamics of tetraonids, especially the black grouse Tetrao tetrix L., in boreal forests",Dissertation Abstracts International C European Abstracts,45,1,NA,NA,,JRY,Phasianidae,No,,,,,,,,,,,,,,,,,,
1318,"Linden, H. and Wikman, M.",1980,Brood size of the goshawk in relation to tetraonid densities,Suomen Riista,NA,NA,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1319,"Southwood, T. R. E. and Cross, D. J.",1969,The ecology of the partridge. 3. Breeding success and the abundance of insects in natural habitats,Journal of Animal Ecology,38,NA,NA,10.2307/3030,,JME,Phasianidae,Insect availability,Reproductive success,Yes,,1961-1963," Lord Rank's Estate at Sutton Scotney, Hampshire",,,Arable cereal farm,Grey Partridge,,,nestling,abundance of insects,Sweep net,Invertebrates,continuous,,1319a
1320,"Underhill-Day, J.C.",1989,The effect of predation by marsh harriers Circus aeruginosus on the survival of ducklings and game bird chicks,Ardea,77,1,"The level of predation by a pair of Marsh Harriers Circus aeruginosus on ducklings and gamebird chicks was calculated from observations of hunting ranges, feeding rates and diet, and estimates of the availability of prey during the breeding season. The harriers took 22% of the Pheasant chicks 4.2% of the Grey and Red-legged Partridge chicks and 25.3% of the Mallard ducklings, which hatched within their hunting territories. Many of the chicks taken by the harriers would otherwise have died before reaching maturity. It was estimated that an additional 10.2% of Pheasant chicks, 0.7% of Grey and 1.1% Red-legged Partridge chicks and 11.1% of Mallard chicks would have survived to fledging in the absence of harrier predation according to calculations on survival rates of those chicks not taken by harriers. However, mean fledged brood sizes of the four prey species were similar to those recorded elsewhere, where harriers did not breed. The conclusion is that predation by the harriers had little effect on final numbers of gamebirds and ducks.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1321,"Homberger, Benjamin (beni.homberger@vogelwarte.ch) and Jenni, Lukas and Duplain, Jerome and Lanz, Michael and Schaub, Michael",2014,Food unpredictability in early life increases survival of captive grey partridges (Perdix perdix) after release into the wild,Biological Conservation,177,NA,"Reintroducing locally extinct species is an increasingly used conservation tool. However, many reintroductions fail to establish self-sustaining populations. The quality of the individuals released may crucially affect reintroduction success, but it is largely unknown which quality traits are important and how they might be improved, especially in captive-reared animals. We aimed at increasing survival of captive-bred grey partridges (Perdix perdix) after release. We experimentally tested the effects of prenatal and postnatal unpredictable food supply on post-release survival of two captive strains (two or >30 generations in captivity). 691 Full-grown birds representing all eight strain x prenatal x postnatal treatment combinations were released in autumn in 28 social groups (coveys) and followed in the field for six months by radio tracking and visual observations. Data were analysed with multistate capture-recapture models including several random effects. Post-release survival was higher in birds having encountered postnatal unpredictable food supply and decreased drastically with later release dates. Also, coveys strongly affected an individual's survival prospects. Our results suggest that post-release survival of captive-bred grey partridges can be increased significantly through simple, inexpensive pre-release measures in captivity, i.e. exposing them to an unpredictable environment. Similar measures might be successful in other species and could ultimately enhance reintroduction success. (C) 2014 Elsevier Ltd. All rights reserved.",NA,,JME,Phasianidae,No,,No,captive breeding; post-release,,,,,,,,,,,,,,,
1322,"Lavigne, Andre J. and Bird, David M. and Lacombe, Diane and Negro, Juan J.",1994,Growth of hand-reared American kestrels 2. Body composition and wingloading of fledglings hand-fed two different diets,Growth Development and Aging,58,4,"The body composition of young American kestrels (Falco sparverius) hand-fed either a protein-rich diet (day-old cockerels Gallus domesticus) or a fat-rich diet (laboratory mice Mus musculus) was determined one day after fledging. Mouse-fed fledglings (n=16) had significantly greater fat deposits than cockerel-fed birds (n=15), while the crude protein content of the carcass was unaffected by the diets. At fledging, mouse-fed birds showed a significantly greater wingloading than cockerel-fed birds. Larger fat reserves (as in mouse-fed birds) might be mobilised in the event of a food shortage and thus these birds would be at an advantage in relation to fledglings with smaller reserves. On the other hand, large fat deposition, which alters wingloading, might impair the flight performance of the fledglings.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1323,"Orsini, P.",1985,Le regime alimentaire du hibou grand-duc Bubo bubo en Provence,Alauda,53,1,"The diet of the eagle owl B. bubo in Provence, southern France. Analysis of eagle owl pellets collected in 13 areas of Provence and 2 areas of the southern French Alps allowed the identification of 3,084 prey items. Comparison of the frequencies of different prey items shows a great variation in the species's diet, due mainly to the different population levels of the rabbit Oryctolagus cuniculus. The density of breeding pairs and their reproductive success is related to this variation. A comparison with the diet of the Bonelli's eagle Hieraaetus fasciatus shows that the latter has more difficulty in adapting to a decline in the rabbit and red-legged partridge Alectoris rufa populations in the garrigue.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1324,"Bety, Joel and Gauthier, Gilles and Giroux, Jean-Francois and Korpimaki, Erkki",2001,Are goose nesting success and lemming cycles linked? Interplay between nest density and predators,Oikos,93,3,NA,10.1034/j.1600-0706.2001.930304.x,,JRY,No,,,No,,,,,,,,,,,,,,,,
1325,"Yom-Tov, Yoram (yomtov@post.tau.ac.il) and Hersteinsson, Pall and Yom-Tov, Elad and Geffen, Eli",2017,Harsh climate selects for small body size among Iceland's Arctic foxes,Ecography,40,3,"We studied the effect of the two environmental indices, the sub-polar gyre (SPG), and winter and summer North Atlantic Oscillation (NAO), together with mean annual winter and summer temperatures and geographic location on mandible size and body mass of Arctic foxes in Iceland (6345 and 2732 specimens, respectively) during the year of their death. We predicted that when favorable conditions prevailed, large specimens would be selected for, and vice versa. Body size and body mass were significantly affected by the environmental parameters (i.e. SPG, NAO, ambient temperature and cloud cover) prevailing during the year of death. The effect of environmental conditions on body size was much stronger in the less productive region of eastern Iceland, apparently because in areas where food availability is meager, even a small difference in climate may tilt the balance from food sufficiency to food shortage. Western Iceland comprises only a quarter of the total surface area of the country, but its productive seashores are twice as long as those of all the rest of the country combined. It is interesting to note that the effect of the SPG, a marine phenomenon in the oceans surrounding Iceland, is reflected in the condition of the foxes more than the other climatic variables we used in this study, which are largely land-related. Because Arctic foxes in Iceland feed largely on marine birds and invertebrates, the SPG seems to encompass more accurate information regarding the direct ocean forces that affect food availability to the foxes.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1326,"Pulliainen, E.",1981,Winter diet of Felis lynx L. in SE Finland as compared with the nutrition of other northern lynxes,Zeitschrift fuer Saeugetierkunde,46,4,"The contents of 88 stomachs and 45 intestines of F. lynx L. killed in winter in southeastern Finland, where no roe deer (Capreolus capreolus L.) were available, were studied. Of every 5 digestive tracts, 4 contained remains of hare, which accounted for 86% of the weight of the stomach contents, the rest consisting of domestic and ranch animals, a red fox, small rodents, tetraonids and a redpoll. No significant dietary difference was found between the sexes. Support was noted for the theory that female lynx are small because of their low total energy requirements and their ability to channel large amounts of excess energy into reproduction and the males are large as a result of sexual selection. A literature review shows that F. lynx hunts roe deer when available and its large body size may thus be an adaptation to the use of roe deer as a food, while the reduced body size of F. pardina Oken would be an adaptation to the use of rabbit-sized prey in warm climates. In northern North America, where there are no mammals of the size of the roe deer available, F. canadensis Kerr, similar in size to F. pardina, feeds mainly on snowshoe hares.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1327,"McIntyre, Carol L. and Adams, Layne G.",1999,"Reproductive characteristics of migratory golden eagles in Denali National Park, Alaska",Condor,101,1,"We describe reproductive characteristics of Golden Eagles (Aquila chrysaetos) breeding in Denali National Park, Alaska during an entire snowshoe hare (Lepus americanus) cycle, 1988-1997. Data on nesting eagles were collected at 58 to 72 nesting areas annually using two aerial surveys. Surveys were conducted during the incubation period to determine occupancy and nesting activities and late in the nestling period to count nestlings and determine nesting success. Annual occupancy rates of nesting areas did not vary significantly, whereas laying rates, success rates, and mean brood size varied significantly over the study period. Fledgling production for the study population varied sevenfold during the ten-year period. Laying rates, mean brood size, and overall population productivity were significantly correlated with abundance of cyclic snowshoe hare and Willow Ptarmigan (Lagopus lagopus) populations. Reproductive rates of Golden Eagles in Denali were similar to those of Golden Eagles from other high latitude study areas in North America, but lower than for Golden Eagles from temperate zone study areas in North America.",10.2307/1370452,,JRY,No,,,No,,,,,,,,,,,,,,,,
1328,"Spaans, Bernard and Blijleven, Harry and Popov, Igor U. and Rykhlikova, Marina E. and Ebbinge, Barwolt S.",1998,Dark-bellied brent geese Branta bernicla bernicla forego breeding when Arctic foxes Alopex lagopus are present during nest initiation,Ardea,86,1,"In an area north of the Pyasina delta in Taimyr (Russia), nest distribution, nest initiation and breeding success of Brent Geese Branta bernicla bernicla were studied in six successive summer seasons from 1990-1995 in relation to lemming and Arctic Fox Alopex lagopus abundance. Lemming abundance conformed to the well-known three-year cycle with peaks in 1991 and 1994. Wandering Arctic Foxes were numerous in 1992, one of the two years following a lemming peak. This was the only year in which foxes visited the small offshore island where Brent Geese used to nest. Although Brent Geese arrived in time that year, the majority did not even start to breed and disappeared. Thus the actual mechanism causing failure in 1992 was disturbance rather than predation and Brent Geese appeared to be able to forego breeding at the very last moment. In the unexpected absence of foxes in the second predator year 1995, Brent Geese incubated successfully on the small islands in our study area. However, they failed to raise their goslings as these were all predated, not by foxes but probably by gulls.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1329,"Hanmer, Hugh J. and Thomas, Rebecca L. and Fellowes, Mark D.E. (m.fellowes@reading.ac.uk)",2017,Provision of supplementary food for wild birds may increase the risk of local nest predation,Ibis,159,1,"In countries such as the UK, USA and Australia, approximately half of all households provide supplementary food for wild birds, making this the public's most common form of active engagement with nature. Year-round supplementary feeding is currently encouraged by major conservation charities in the UK as it is thought to be of benefit to bird conservation. However, little is understood about how the provision of supplementary food affects the behaviour and ecology of target and non-target species. Given the scale of supplementary feeding, any negative effects may have important implications for conservation. Potential nest predators are abundant in urban areas and some species frequently visit supplementary feeding stations. We assess whether providing supplementary food affects the likelihood of nest predation in the vicinity of the feeder, by acting as a point attractant for potential nest predators. We provided feeding stations (empty, peanut feeder, peanut feeder with guard to exclude potential nest predators) in an area of suburban parkland in the UK and monitored the predation rate of eggs placed in artificial nests located at distances that replicated the size of typical suburban gardens. Nest predators (Magpies Pica pica, Grey Squirrels Sciurus carolinensis) were frequent visitors to filled feeders, and predation caused by Magpies, European Jays Garrulus glandarius and Grey Squirrels was significantly higher when nests were adjacent to filled feeders. The presence of a feeder guard did not significantly reduce nest predation. As supplementary feeding is becoming increasingly common during the breeding season in suburban habitats, we suggest that providing point attractants to nest predators at this time may have previously unconsidered consequences for the breeding success of urban birds.",NA,,JME,No,,,No,predation,,,,,,,,,,,,,,,
1330,"Thomas, V.G.",1982,Energetic reserves of Hudson Bay willow ptarmigan during winter and spring,Canadian Journal of Zoology,60,7,"Willow ptarmigan (L. lagopus) were collected from the Hudson Bay coast of Ontario from Feb.-June, and the proximate composition and tissue composition of the carcasses were analyzed. Total carcass composition remained uniform from Feb. to late May. The neutral fat level remained low at .apprx. 2% of body weight. The total energy reserve from neutral fat and labile protein was calculated to be 165 and 180 kcal (1 kcal = 4.1868 kJ), respectively, for a 550 g female and a 600 g male ptarmigan. Gonadal recrudescence began in early May, but its extent was not correlated significantly with change in body weight or carcass neutral fat content. The low neutral fat levels observed during winter and the onset of reproduction indicate that this population is dependent upon its immediate food supply for winter survival and clutch formation.",10.1139/z82-212,,JME,Phasianidae,No,,No,energetic reserves; winter,,,,,,,,,,,,,,,
1331,"Crabtree, R.L. and Wolfe, M.L.",1988,Effects of alternative prey on skunk predation of waterfowl nests,Wildlife Society Bulletin,16,2,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1332,"Underhill, L.G.",1987,A poor breeding season for ground-nesting birds in the Taimyr Peninsula in 1986,Safring News,13,1,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1333,"Liu, Jia-shou and Cui, Yi-bo and Yang, Yun-xia and Liu, Jian-kang",2000,Effect of body weight and ration level on the body composition and energy content of Siniperca chuatsi and Channa argus,Acta Hydrobiologica Sinica,24,1,"The body composition and energy content in the wild Siniperca chuatsi and Channa argus of different sizes and in S. chuatsi and C. argus fed different rations were determined. For the wild S. chuatsi and C. argus of different sizes, the contents of dry matter, protein, lipid and energy significantly increased with increasing body weight (P < 0.05); ash content of the wild S. chuatsi also significantly increased with increasing body weight (P < 0.05), but the regression relationship between ash content and body size in the C. argus was not significant (P > 0.05). For S. chuatsi and C. argus fed different rations, contents of dry matter, lipid and energy significantly increased with increased ration levels (P < 0.05); the regression relationship between content of protein or ash and ration level was not significant in S. chuatsi (P > 0.05); the protein content significantly increased with increasing ration level, but ash content significantly decreased with increasing ration level in C. argus (P < 0.05). Though significant regression relationship between dry matter content and contents of protein, lipid and energy both in the wild S. chuatsi and C. argus of different body sizes and in S. chuatsi and C. argus fed different rations were found (P < 0.05), the regression equations established using the two sets of data did not agree completely.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1334,"Francksen, Richard M. (r.francksen@gmail.com) and Whittingham, Mark J. and Ludwig, Sonja C. and Roos, Staffan and Baines, David",2017,Numerical and functional responses of Common Buzzards Buteo buteo to prey abundance on a Scottish grouse moor,Ibis,159,3,"Predators will often respond to reductions in preferred prey by switching to alternative prey resources. However, this may not apply to all alternative prey groups in patchy landscapes. We investigated the demographic and aggregative numerical and functional responses of Common Buzzards Buteo buteo in relation to variations in prey abundance on a moor managed for Red Grouse Lagopus lagopus scotica in south-west Scotland over three consecutive breeding and non-breeding seasons. We predicted that predation of Red Grouse by Buzzards would increase when abundance of their preferred Field Vole Microtus agrestis prey declined. As vole abundance fluctuated, Buzzards responded functionally by eating voles in relation to their abundance, but they did not respond demographically in terms of either breeding success or density. During a vole crash year, Buzzards selected a wider range of prey typical of enclosed farmland habitats found on the moorland edge but fewer Grouse from the heather moorland. During a vole peak year, prey remains suggested a linear relationship between Grouse density and the number of Grouse eaten (a Type 1 functional response), which was not evident in either intermediate or vole crash years. Buzzard foraging intensity varied between years as vole abundance fluctuated, and foraging intensity declined with increasing heather cover. Our findings did not support the prediction that predation of Red Grouse would increase when vole abundance was low. Instead, they suggest that Buzzards predated Grouse incidentally while hunting for voles, which may increase when vole abundances are high through promoting foraging in heather moorland habitats where Grouse are more numerous. Our results suggest that declines in their main prey may not result in increased predation of all alternative prey groups when predators inhabit patchy landscapes. We suggest that when investigating predator diet and impacts on prey, knowledge of all resources and habitats that are available to predators is important.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1335,"Whitfield, D.P. (phil.whitfield@natural-research.org) and Reid, Robin and Haworth, Paul F. and Madders, Mike and Marquiss, Mick and Tingay, Ruth and Fielding, Alan H.",2009,Diet specificity is not associated with increased reproductive performance of golden eagles Aquila chrysaetos in Western Scotland,Ibis,151,2,"Amongst raptor species, individuals with specialized diets are commonly observed to have higher reproductive output than those with general diets. A suggested cause is that foraging efficiency benefits accrue to diet specialists. This diet specificity hypothesis thus predicts that diet breadth and reproductive success should be inversely related within species. We highlight, however, that a prey availability hypothesis also makes the same prediction in some circumstances. Hence, when high diet specificity results from high encounter rates with an abundant, preferred prey, then prey availability may affect reproductive success, with diet specialization as an incidental correlate. Using three insular study areas in western Scotland, we examine diet specificity and reproductive success in Golden Eagles Aquila chrysaetos. Diet breadth and breeding productivity were not negatively related in any of our study areas, even though birds with specific diets did tend to have a higher incidence of preferred prey (grouse and lagomorphs) in the diet. Indeed, in two study areas there was evidence that diet generalists had higher breeding productivity. Our results therefore failed to support the diet specificity hypothesis but were consistent with the prey availability hypothesis. We highlight that although many other studies are superficially consistent with the diet specificity hypothesis, our study is not alone in failing to provide support and that the hypothesis does not provide a generic explanation for all relevant results. Diet specificity in predators can be at least partially a response to prey diversity, availability and distribution, and benefits associated with different prey types, so that being a generalist is not necessarily intrinsically disadvantageous. We suggest that the available evidence is more consistent with variation in prey abundance and availability as a more influential factor explaining spatial and temporal variation in breeding productivity of 'generalist' species such as the Golden Eagle. Under this argument, prey abundance and availability are the main drivers of variation in reproductive output. Diet specificity is a consequence of variation in prey availability, rather than a substantial cause of variation in reproductive success.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1336,"Buckley, Kieran (Kieran.buckley@housing.gov.ie) and Gorman, Conor O. and Martyn, Michael and Kavanagh, Brendan and Copland, Alex and McMahon, Barry J.",2021,"Coexistence without conflict, the recovery of Ireland's endangered wild grey partridge Perdix perdix",European Journal of Wildlife Research,67,3,"By 1995, Ireland's wild grey partridge (Perdix perdix) was extinct nationally as a breeding species on farmland. The two populations remaining were confined to Ireland's industrial cutaway peat bogs. One of these populations was deemed viable. In 1996, the National Parks and Wildlife Service of Ireland and the Irish Grey Partridge Conservation Trust established a conservation project to prevent the extirpation of this population. In this paper, we explore the impact of each management factor on two key demographic response variables: chick survival rates and the number of breeding pairs. The numbers of linear metres of nesting strips had the most significantly positive effect on spring pairs, followed by the total number of supplementary food hoppers and the total hectares of brood-rearing and over-winter cover. Counterintuitively, encounters with Hen Harriers (Circus cyaneus) did not negatively affect chick survival or the number of spring pairs. While we cannot rule out the contribution of each explanatory variable, none had a statistically significant effect on chick survival, suggesting there may be locally confounding factors that our model could not capture. The weather conditions during the peak hatching period had a significant influence on chick survival, with the average maximum temperature observed in June having the strongest positive association with an increase of 1 [degree]C in the average maximum temperature in June associated with an increase in chick survival of 9.4% on average. Conversely, for every additional 1 mm of rain in June, there was a 0.23% drop in chick survival on average.",NA,,JME,Phasianidae,No,,No,supplemented food; predators,,,,,,,,,,,,,,,
1337,"Gilg, Oliver (olivier.gilg@libertysurf.fr) and Sittler, Benoit and Hanski, Ilkka",2009,Climate change and cyclic predator-prey population dynamics in the high Arctic,Global Change Biology,15,11,"The high Arctic has the world's simplest terrestrial vertebrate predator[long dash]prey community, with the collared lemming being the single main prey of four predators, the snowy owl, the Arctic fox, the long-tailed skua, and the stoat. Using a 20-year-long time series of population densities for the five species and a dynamic model that has been previously parameterized for northeast Greenland, we analyzed the population and community level consequences of the ongoing and predicted climate change. Species' responses to climate change are complex, because in addition to the direct effects of climate change, which vary depending on species' life histories, species are also affected indirectly due to, e.g., predator[long dash]prey interactions. The lemming[long dash]predator community exemplifies these complications, yet a robust conclusion emerges from our modeling: in practically all likely scenarios of how climate change may influence the demography of the species, climate change increases the length of the lemming population cycle and decreases the maximum population densities. The latter change in particular is detrimental to the populations of the predators, which are adapted to make use of the years of the greatest prey abundance. Therefore, climate change will indirectly reduce the predators' reproductive success and population densities, and may ultimately lead to local extinction of some of the predator species. Based on these results, we conclude that the recent anomalous observations about lack of cyclic lemming dynamics in eastern Greenland may well be the first signs of a severe impact of climate change on the lemming[long dash]predator communities in Greenland and elsewhere in the high Arctic.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1338,"Panek, M.",1992,The effect of environmental factors on survival of grey partridge (Perdix perdix) chicks in Poland during 1987-89,Journal of Applied Ecology,29,3,"The survival of grey partidges chicks was estimated from the brood sizes in several areas of Poland, and related to weather conditions, abundance of insect food, occurrence of weeds, and the use of herbicides. Geometric mean brood size in different areas and years ranged from 7.5 to 11.2, with a mean of 9.3, and the estimated chick survival rate ranged from 42 to 71%, with a mean of 56%. Chick survival rates increased with mean temperatures and decreased with increasing numbers of rainy days in June. Chick survival rates increased with numbers of plant bugs, but they had no significant effect after removal of the effect of weather. Numbers of plant bugs increased with temperature. Density and species diversity of dicotyledonous weeds in cereals were relatively high, and differences in weeds between areas were not in accordance with differences in the abundance of insects selected by partridges. The application of herbicides in Poland so far has not had a marked indirect negative effect on the survival of partridge chicks. Presumably the occurrence of permanent cover in crop fields has a positive effect on chick survival.",10.2307/2404484,,JME,Phasianidae,Insect availability,Reproductive success,Yes,Duplicate w/ 1037,1987-1989,"Czempin, western Poland; Sochaczew, central Poland",,,cultivated arable fields,Grey Partridge,,,nestling,mean number of insect groups,sweep net,invertebrates,continuous,,
1339,"Chen, Li and Wang, Dezhen and Zhang, Wenjun and Wang, Fang and Zhang, Luyao and Wang, Zikang and Li, Yao and Zhou, Zhiqiang and Diao, Jinling (lingyinzi1201@gmail.com)",2019,Ecological risk assessment of alpha-cypermethrin-treated food ingestion and reproductive toxicity in reptiles,Ecotoxicology and Environmental Safety,171,NA,"Pesticides are proposed as one of the many causes for the global decline in reptile population. To understand the potential impact of alpha-cypermethrin (ACP) in reptiles, in the current study, we used a tri-trophic food web (plants - herbivores - natural enemies of predators) to examine the reproductive toxicity and biomarker changes. Based on the Maximum Residue Limit (MRL) of ACP in several agricultural products, we designed three concentrations 0, 2 (MRL), and 20 mg/kg wet weight as three treatment groups for this research. Male and female lizards were fed ACP contaminated or uncontaminated diets for eight weeks during the breeding phase. The number of deaths was different among the three groups, and a dose-dependent trend was found. Decreases in food consumption of 26.6% and 28.1% were observed in the low- and high-dose group, respectively. Dietary exposure significantly induced a dose-dependent decrease in body mass index in lizards. Significant variations in glutathione-S-transferaseb activities, catalase activities, and malondialdehyde levels in gonads, suggest that lizards were under oxidative stress. In addition, ACP exposure altered sexual hormone levels in males, reduced reproductive output of females, and induced histopathological changes in testes. These negative effects highlight that ACP dietary exposure is a potential threat to lizards' reproduction.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1340,"Sulkava, Seppo and Huhtala, Kauko and Tornberg, Risto",1994,Regulation of goshawk Accipiter gentilis breeding in western Finland over the last 30 years,Raptor conservation today.,NA,NA,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1341,"Johnson, G.D. and Boyce, M.S.",1990,Feeding trials with insects in the diet of sage grouse chicks,Journal of Wildlife Management,54,1,"We evaluated the influence of insect reductions on survival of sage grouse (Centrocercus urophasianus) chicks with 148 captive individuals aged 2-45 days when treatment began. Captive sage grouse chicks <21 days old needed insects for survival and development, whereas birds >21 days old required insects for optimum development. Quantity of insects in the diet was correlated with sage grouse chick survival and growth.",10.2307/3808906,,JME,Phasianidae,Insect availability,Body condition,Yes,captive feeding experiment,1985-1986,"Albany County, Wyoming",,,CAPTIVE,Sage Grouse,,,,G of insect rations,rations,insects,"comparative, continuous",,1341a;1341b;1341c;1341d;13413;1341f;1341g;1341h;1341i;1341j
1342,"Potapov, E.R.",1986,Experimental study and ecological interpretation of food digestibility in rough-legged buzzard's nestlings,Eksperimentalnye metody v izuchenii severnykh ptits i rezultati ikh and primeneniya. [Experimental methods and results of their application in and northern birds studies.].,NA,NA,NA,NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
